,number_clusters,epsilon,min_sample,n_noise,cl0,cl1,cl2,cl3,cl4,cl5,cl6,cl7,cl8
0,62.0,0.1,100.0,204110.0,127.0,18305.0,369.0,155.0,143.0,147.0,137.0,191.0,198.0
1,8.0,0.1,200.0,211840.0,18305.0,359.0,286.0,372.0,211.0,218.0,284.0,0.0,0.0
2,3.0,0.1,300.0,213262.0,18305.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.0,0.1,400.0,213570.0,18305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.0,0.1,500.0,213570.0,18305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.0,0.1,600.0,213570.0,18305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.0,0.1,700.0,213570.0,18305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2.0,0.1,800.0,213570.0,18305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0,0.1,900.0,213570.0,18305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,165.0,0.2,100.0,184764.0,192.0,161.0,18305.0,114.0,204.0,795.0,228.0,159.0,181.0
10,28.0,0.2,200.0,205078.0,18305.0,775.0,252.0,218.0,621.0,219.0,243.0,759.0,232.0
11,10.0,0.2,300.0,209709.0,18305.0,751.0,580.0,739.0,358.0,393.0,423.0,316.0,301.0
12,5.0,0.2,400.0,211645.0,18305.0,691.0,713.0,521.0,0.0,0.0,0.0,0.0,0.0
13,4.0,0.2,500.0,212306.0,18305.0,591.0,673.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2.0,0.2,600.0,213570.0,18305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2.0,0.2,700.0,213570.0,18305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2.0,0.2,800.0,213570.0,18305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2.0,0.2,900.0,213570.0,18305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,234.0,0.3,100.0,160956.0,282.0,232.0,18305.0,149.0,177.0,258.0,352.0,1363.0,725.0
19,62.0,0.3,200.0,191925.0,248.0,18305.0,245.0,338.0,1326.0,702.0,280.0,277.0,262.0
20,15.0,0.3,300.0,205086.0,18305.0,1292.0,672.0,660.0,955.0,1164.0,425.0,428.0,588.0
21,10.0,0.3,400.0,207363.0,18305.0,1250.0,607.0,932.0,1144.0,703.0,536.0,585.0,450.0
