,Cluster 0 ,Cluster 1 ,Cluster 2 ,Cluster 3 ,Cluster 4 
0,machine learning,natural language,neural network,magnetic field,black hole
1,reinforcement learning,language processing,deep learning,electric field,dark matter
2,decision making,social medium,deep neural,metric space,field theory
3,federated learning,natural language processing,deep neural network,density functional,phase transition
4,learning algorithm,vector field,object detection,thin film,gravitational wave
5,convergence rate,latent space,convolutional neural,quantum circuit,space time
6,artificial intelligence,generative adversarial,convolutional neural network,quantum computer,scalar field
7,neural network,contrastive learning,star formation,quantum computing,modulus space
8,multi agent,existence uniqueness,machine learning,spin orbit,hilbert space
9,time varying,adversarial network,computer vision,quantum information,navier stokes
